metric,dataset,train_size,effect_paper,effect_fixed,abs_delta,sig_paper,sig_fixed,sig_changed
correlation_matrix_difference,csuite_weak_arrows,100,-1.2827005876883806,-1.280928973592692,0.0017716140956884896,True,True,False
correlation_matrix_difference,csuite_weak_arrows,200,-1.554574613198531,-1.558722763323436,0.004148150124904992,True,True,False
correlation_matrix_difference,csuite_weak_arrows,500,-1.5386883720968227,-1.5371434092942584,0.0015449628025643314,True,True,False
k_marginal_tvd,csuite_large_backdoor,20,-0.0078888888888888,-0.0078333333333333,5.555555555549971e-05,True,True,False
k_marginal_tvd,csuite_large_backdoor,50,-0.0148124999999999,-0.01475,6.249999999990118e-05,True,True,False
k_marginal_tvd,csuite_large_backdoor,100,-0.018,-0.0182326388888889,0.00023263888888890027,True,True,False
k_marginal_tvd,csuite_large_backdoor,200,-0.0193819444444444,-0.0194131944444445,3.125000000010064e-05,True,True,False
k_marginal_tvd,csuite_large_backdoor,500,-0.0055694444444444,-0.0054097222222222,0.0001597222222222,True,True,False
k_marginal_tvd,csuite_nonlin_simpson,20,-0.0499999999999999,-0.049625,0.00037499999999989625,True,True,False
k_marginal_tvd,csuite_nonlin_simpson,50,-0.0782916666666666,-0.0784583333333333,0.00016666666666668994,True,True,False
k_marginal_tvd,csuite_nonlin_simpson,100,-0.0894375,-0.0894375,0.0,True,True,False
k_marginal_tvd,csuite_nonlin_simpson,200,-0.0957083333333334,-0.0956666666666667,4.166666666668983e-05,True,True,False
k_marginal_tvd,csuite_nonlin_simpson,500,-0.1054166666666667,-0.1054166666666667,0.0,True,True,False
k_marginal_tvd,csuite_symprod_simpson,20,-0.0132499999999999,-0.0131666666666666,8.33333333333016e-05,True,True,False
k_marginal_tvd,csuite_symprod_simpson,50,-0.032875,-0.03425,0.0013750000000000012,True,True,False
k_marginal_tvd,csuite_symprod_simpson,100,-0.0285833333333333,-0.0287708333333333,0.00018750000000000017,True,True,False
k_marginal_tvd,csuite_symprod_simpson,200,-0.0193749999999999,-0.0192916666666666,8.333333333329987e-05,True,True,False
k_marginal_tvd,csuite_symprod_simpson,500,-0.0345833333333333,-0.0325,0.002083333333333298,False,True,True
k_marginal_tvd,csuite_weak_arrows,20,-0.0096180555555555,-0.0096180555555555,0.0,True,True,False
k_marginal_tvd,csuite_weak_arrows,50,-0.0176597222222222,-0.0175902777777777,6.94444444445004e-05,True,True,False
k_marginal_tvd,csuite_weak_arrows,100,-0.01609375,-0.0162118055555556,0.00011805555555560038,True,True,False
k_marginal_tvd,csuite_weak_arrows,200,-0.02115625,-0.0212708333333333,0.0001145833333332999,True,True,False
k_marginal_tvd,csuite_weak_arrows,500,-0.0203958333333333,-0.0205902777777777,0.0001944444444443999,True,True,False
nnaa,csuite_large_backdoor,20,-0.019625,-0.0194999999999999,0.00012500000000010072,True,True,False
nnaa,csuite_large_backdoor,50,-0.0394999999999999,-0.0396249999999999,0.0001250000000000001,True,True,False
nnaa,csuite_large_backdoor,100,-0.041125,-0.041625,0.0005000000000000004,True,True,False
nnaa,csuite_large_backdoor,200,-0.040125,-0.04,0.0001250000000000001,True,True,False
nnaa,csuite_large_backdoor,500,-0.007875,-0.0076249999999999,0.00025000000000009997,True,True,False
nnaa,csuite_nonlin_simpson,20,-0.0433749999999999,-0.04325,0.00012499999999990297,True,True,False
nnaa,csuite_nonlin_simpson,50,-0.075375,-0.0754999999999999,0.00012499999999990297,True,True,False
nnaa,csuite_nonlin_simpson,100,-0.0916249999999999,-0.0916249999999999,0.0,True,True,False
nnaa,csuite_nonlin_simpson,200,-0.10375,-0.103875,0.0001250000000000001,True,True,False
nnaa,csuite_nonlin_simpson,500,-0.1175,-0.1175,0.0,True,True,False
nnaa,csuite_symprod_simpson,20,-0.0158749999999999,-0.0155,0.0003749999999998997,True,True,False
nnaa,csuite_symprod_simpson,50,-0.0403124999999999,-0.0418749999999999,0.0015625000000000014,True,True,False
nnaa,csuite_symprod_simpson,100,-0.0404999999999999,-0.0365,0.0039999999999998995,True,True,False
nnaa,csuite_symprod_simpson,200,-0.0205,-0.02175,0.0012499999999999976,True,True,False
nnaa,csuite_symprod_simpson,500,-0.0357499999999999,-0.04075,0.005000000000000102,False,True,True
nnaa,csuite_weak_arrows,20,-0.033375,-0.033375,0.0,True,True,False
nnaa,csuite_weak_arrows,50,-0.0539375,-0.053875,6.250000000000006e-05,True,True,False
nnaa,csuite_weak_arrows,100,-0.0464999999999999,-0.046375,0.00012499999999990297,True,True,False
nnaa,csuite_weak_arrows,200,-0.06,-0.0603749999999999,0.0003749999999999032,True,True,False
nnaa,csuite_weak_arrows,500,-0.057,-0.0569999999999999,1.0408340855860843e-16,True,True,False
