baseline,comparator,metric,train_size,median_paired_diff,p_raw,p_holm,significant,baseline_worse
TabularARGN,TabPFN DAG-aware,CMD,100,2.121914551064399,3.89655984509591e-18,1.948279922547955e-17,True,True
TabularARGN,TabPFN DAG-aware,CMD,200,2.1302771152821576,3.89655984509591e-18,1.948279922547955e-17,True,True
TabularARGN,TabPFN DAG-aware,CMD,500,2.139934454958719,3.89655984509591e-18,1.948279922547955e-17,True,True
TabularARGN,TabPFN DAG-aware,kMTVD,20,0.5979583333333334,3.896340037647931e-18,1.947620588352819e-17,True,True
TabularARGN,TabPFN DAG-aware,kMTVD,50,0.3957500000000001,3.896120241954008e-18,1.947620588352819e-17,True,True
TabularARGN,TabPFN DAG-aware,kMTVD,100,0.29966666666666675,3.89546092538984e-18,1.947620588352819e-17,True,True
TabularARGN,TabPFN DAG-aware,kMTVD,200,0.25350000000000006,3.895241176705638e-18,1.947620588352819e-17,True,True
TabularARGN,TabPFN DAG-aware,kMTVD,500,0.2375,3.89655984509591e-18,1.947620588352819e-17,True,True
TabularARGN,TabPFN DAG-aware,NNAA_distance_0p5,20,0.444375,3.89414260953766e-18,1.9437786858200923e-17,True,True
TabularARGN,TabPFN DAG-aware,NNAA_distance_0p5,50,0.465125,3.891068183715534e-18,1.9437786858200923e-17,True,True
TabularARGN,TabPFN DAG-aware,NNAA_distance_0p5,100,0.46675,3.89040967760029e-18,1.9437786858200923e-17,True,True
TabularARGN,TabPFN DAG-aware,NNAA_distance_0p5,200,0.463625,3.892824716613678e-18,1.9437786858200923e-17,True,True
TabularARGN,TabPFN DAG-aware,NNAA_distance_0p5,500,0.467,3.887557371640184e-18,1.9437786858200923e-17,True,True
CTGAN,TabPFN vanilla,CMD,20,1.3184864439092414,3.89655984509591e-18,1.948279922547955e-17,True,True
CTGAN,TabPFN vanilla,CMD,50,1.5005389038142098,3.89655984509591e-18,1.948279922547955e-17,True,True
CTGAN,TabPFN vanilla,CMD,100,1.6307475316039102,3.89655984509591e-18,1.948279922547955e-17,True,True
CTGAN,TabPFN vanilla,CMD,200,1.886112393340122,3.89655984509591e-18,1.948279922547955e-17,True,True
CTGAN,TabPFN vanilla,CMD,500,1.9972624372290555,3.89655984509591e-18,1.948279922547955e-17,True,True
CTGAN,TabPFN vanilla,kMTVD,20,0.23300000000000004,3.89655984509591e-18,1.948060120977004e-17,True,True
CTGAN,TabPFN vanilla,kMTVD,50,0.2553333333333334,3.896340037647931e-18,1.948060120977004e-17,True,True
CTGAN,TabPFN vanilla,kMTVD,100,0.27720833333333333,3.896120241954008e-18,1.948060120977004e-17,True,True
CTGAN,TabPFN vanilla,kMTVD,200,0.3817083333333334,3.896340037647931e-18,1.948060120977004e-17,True,True
CTGAN,TabPFN vanilla,kMTVD,500,0.3812083333333335,3.896340037647931e-18,1.948060120977004e-17,True,True
CTGAN,TabPFN vanilla,NNAA_distance_0p5,20,0.414,3.8945820011567e-18,1.9447659168874007e-17,True,True
CTGAN,TabPFN vanilla,NNAA_distance_0p5,50,0.445,3.893483610217646e-18,1.9447659168874007e-17,True,True
CTGAN,TabPFN vanilla,NNAA_distance_0p5,100,0.4570000000000001,3.8912877092326295e-18,1.9447659168874007e-17,True,True
CTGAN,TabPFN vanilla,NNAA_distance_0p5,200,0.463375,3.889531833774801e-18,1.9447659168874007e-17,True,True
CTGAN,TabPFN vanilla,NNAA_distance_0p5,500,0.466625,3.89414260953766e-18,1.9447659168874007e-17,True,True
CTGAN,TabPFN DAG-aware,CMD,20,1.6870795771462639,3.89655984509591e-18,1.948279922547955e-17,True,True
CTGAN,TabPFN DAG-aware,CMD,50,1.6822797880531508,3.89655984509591e-18,1.948279922547955e-17,True,True
CTGAN,TabPFN DAG-aware,CMD,100,1.782760387274013,3.89655984509591e-18,1.948279922547955e-17,True,True
CTGAN,TabPFN DAG-aware,CMD,200,1.9687362280914371,3.89655984509591e-18,1.948279922547955e-17,True,True
CTGAN,TabPFN DAG-aware,CMD,500,2.0436574401581877,3.89655984509591e-18,1.948279922547955e-17,True,True
CTGAN,TabPFN DAG-aware,kMTVD,20,0.2565833333333334,3.89655984509591e-18,1.9481700188239653e-17,True,True
CTGAN,TabPFN DAG-aware,kMTVD,50,0.26658333333333334,3.89655984509591e-18,1.9481700188239653e-17,True,True
CTGAN,TabPFN DAG-aware,kMTVD,100,0.27812500000000007,3.89655984509591e-18,1.9481700188239653e-17,True,True
CTGAN,TabPFN DAG-aware,kMTVD,200,0.3860416666666667,3.89655984509591e-18,1.9481700188239653e-17,True,True
CTGAN,TabPFN DAG-aware,kMTVD,500,0.38150000000000006,3.896340037647931e-18,1.9481700188239653e-17,True,True
CTGAN,TabPFN DAG-aware,NNAA_distance_0p5,20,0.4241250000000001,3.8945820011567e-18,1.9455340918577668e-17,True,True
CTGAN,TabPFN DAG-aware,NNAA_distance_0p5,50,0.4545,3.892385512934326e-18,1.9455340918577668e-17,True,True
CTGAN,TabPFN DAG-aware,NNAA_distance_0p5,100,0.46025000000000005,3.891726795488223e-18,1.9455340918577668e-17,True,True
CTGAN,TabPFN DAG-aware,NNAA_distance_0p5,200,0.46475,3.891068183715534e-18,1.9455340918577668e-17,True,True
CTGAN,TabPFN DAG-aware,NNAA_distance_0p5,500,0.46975,3.892385512934326e-18,1.9455340918577668e-17,True,True
DATGAN,TabPFN vanilla,CMD,20,0.05795222007934389,0.255084772503005,0.51016954500601,False,True
DATGAN,TabPFN vanilla,CMD,50,0.025924564971391187,0.3039220149315086,0.51016954500601,False,True
DATGAN,TabPFN vanilla,CMD,100,0.030264808156814094,0.08434038384173659,0.33736153536694635,False,True
DATGAN,TabPFN vanilla,CMD,200,0.038504223569817794,0.08496074989521588,0.33736153536694635,False,True
DATGAN,TabPFN vanilla,CMD,500,0.15251805153152884,1.4538279252268116e-14,7.269139626134059e-14,True,True
DATGAN,TabPFN vanilla,kMTVD,20,0.21924999999999997,3.89655984509591e-18,1.948060120977004e-17,True,True
DATGAN,TabPFN vanilla,kMTVD,50,0.21595833333333334,3.896340037647931e-18,1.948060120977004e-17,True,True
DATGAN,TabPFN vanilla,kMTVD,100,0.21837499999999999,3.89655984509591e-18,1.948060120977004e-17,True,True
DATGAN,TabPFN vanilla,kMTVD,200,0.21170833333333333,3.89655984509591e-18,1.948060120977004e-17,True,True
DATGAN,TabPFN vanilla,kMTVD,500,0.1982083333333333,3.896120241954008e-18,1.948060120977004e-17,True,True
DATGAN,TabPFN vanilla,NNAA_distance_0p5,20,0.4,3.895021439772566e-18,1.94707130476883e-17,True,True
DATGAN,TabPFN vanilla,NNAA_distance_0p5,50,0.42450000000000004,3.896120241954008e-18,1.94707130476883e-17,True,True
DATGAN,TabPFN vanilla,NNAA_distance_0p5,100,0.4181250000000001,3.895900458013434e-18,1.94707130476883e-17,True,True
DATGAN,TabPFN vanilla,NNAA_distance_0p5,200,0.39625,3.89546092538984e-18,1.94707130476883e-17,True,True
DATGAN,TabPFN vanilla,NNAA_distance_0p5,500,0.41050000000000003,3.89414260953766e-18,1.94707130476883e-17,True,True
DATGAN,TabPFN DAG-aware,CMD,20,0.3774223323503069,5.943312343029359e-18,2.97165617151468e-17,True,True
DATGAN,TabPFN DAG-aware,CMD,50,0.13395521682637218,5.950277403502358e-15,1.1900554807004715e-14,True,True
DATGAN,TabPFN DAG-aware,CMD,100,0.1357090798054649,3.3740481208269957e-16,1.0122144362480988e-15,True,True
DATGAN,TabPFN DAG-aware,CMD,200,0.085227356603877,1.5935238620875786e-11,1.5935238620875786e-11,True,True
DATGAN,TabPFN DAG-aware,CMD,500,0.1964343910872022,6.311606041551027e-18,2.97165617151468e-17,True,True
DATGAN,TabPFN DAG-aware,kMTVD,20,0.24095833333333333,3.896340037647931e-18,1.9481700188239653e-17,True,True
DATGAN,TabPFN DAG-aware,kMTVD,50,0.22129166666666672,3.896340037647931e-18,1.9481700188239653e-17,True,True
DATGAN,TabPFN DAG-aware,kMTVD,100,0.21954166666666663,3.89655984509591e-18,1.9481700188239653e-17,True,True
DATGAN,TabPFN DAG-aware,kMTVD,200,0.214625,3.896340037647931e-18,1.9481700188239653e-17,True,True
DATGAN,TabPFN DAG-aware,kMTVD,500,0.202,3.89655984509591e-18,1.9481700188239653e-17,True,True
DATGAN,TabPFN DAG-aware,NNAA_distance_0p5,20,0.40975,3.89546092538984e-18,1.947620588352819e-17,True,True
DATGAN,TabPFN DAG-aware,NNAA_distance_0p5,50,0.42774999999999996,3.895241176705638e-18,1.947620588352819e-17,True,True
DATGAN,TabPFN DAG-aware,NNAA_distance_0p5,100,0.419375,3.89546092538984e-18,1.947620588352819e-17,True,True
DATGAN,TabPFN DAG-aware,NNAA_distance_0p5,200,0.399875,3.896120241954008e-18,1.947620588352819e-17,True,True
DATGAN,TabPFN DAG-aware,NNAA_distance_0p5,500,0.41200000000000003,3.895900458013434e-18,1.947620588352819e-17,True,True
DECAF,TabPFN vanilla,CMD,20,1.752025682787372,3.89655984509591e-18,1.948279922547955e-17,True,True
DECAF,TabPFN vanilla,CMD,50,2.013123362226906,3.89655984509591e-18,1.948279922547955e-17,True,True
DECAF,TabPFN vanilla,CMD,100,3.2554781691918624,3.89655984509591e-18,1.948279922547955e-17,True,True
DECAF,TabPFN vanilla,CMD,200,3.2065403539382364,3.89655984509591e-18,1.948279922547955e-17,True,True
DECAF,TabPFN vanilla,CMD,500,2.6974446267572563,3.89655984509591e-18,1.948279922547955e-17,True,True
DECAF,TabPFN vanilla,kMTVD,20,0.717875,3.896340037647931e-18,1.948060120977004e-17,True,True
DECAF,TabPFN vanilla,kMTVD,50,0.7512916666666666,3.896340037647931e-18,1.948060120977004e-17,True,True
DECAF,TabPFN vanilla,kMTVD,100,0.7649583333333333,3.896340037647931e-18,1.948060120977004e-17,True,True
DECAF,TabPFN vanilla,kMTVD,200,0.7705833333333332,3.896340037647931e-18,1.948060120977004e-17,True,True
DECAF,TabPFN vanilla,kMTVD,500,0.7734583333333334,3.896120241954008e-18,1.948060120977004e-17,True,True
DECAF,TabPFN vanilla,NNAA_distance_0p5,20,0.4445,3.893703264910611e-18,1.9397250580753738e-17,True,True
DECAF,TabPFN vanilla,NNAA_distance_0p5,50,0.477,3.888434793038708e-18,1.9397250580753738e-17,True,True
DECAF,TabPFN vanilla,NNAA_distance_0p5,100,0.48712500000000003,3.8858030918566685e-18,1.9397250580753738e-17,True,True
DECAF,TabPFN vanilla,NNAA_distance_0p5,200,0.48850000000000005,3.88163968440515e-18,1.9397250580753738e-17,True,True
DECAF,TabPFN vanilla,NNAA_distance_0p5,500,0.49275,3.879450116150748e-18,1.9397250580753738e-17,True,True
DECAF,TabPFN DAG-aware,CMD,20,2.08671547948122,3.89655984509591e-18,1.948279922547955e-17,True,True
DECAF,TabPFN DAG-aware,CMD,50,2.131143279999993,3.89655984509591e-18,1.948279922547955e-17,True,True
DECAF,TabPFN DAG-aware,CMD,100,3.3955280921450886,3.89655984509591e-18,1.948279922547955e-17,True,True
DECAF,TabPFN DAG-aware,CMD,200,3.372473679852,4.0161556854627e-18,1.948279922547955e-17,True,True
DECAF,TabPFN DAG-aware,CMD,500,2.753935465729826,3.89655984509591e-18,1.948279922547955e-17,True,True
DECAF,TabPFN DAG-aware,kMTVD,20,0.7333333333333332,3.896340037647931e-18,1.947400857294836e-17,True,True
DECAF,TabPFN DAG-aware,kMTVD,50,0.7606666666666666,3.896120241954008e-18,1.947400857294836e-17,True,True
DECAF,TabPFN DAG-aware,kMTVD,100,0.7679166666666666,3.89546092538984e-18,1.947400857294836e-17,True,True
DECAF,TabPFN DAG-aware,kMTVD,200,0.7718333333333334,3.8948017145896716e-18,1.947400857294836e-17,True,True
DECAF,TabPFN DAG-aware,kMTVD,500,0.7770416666666666,3.896340037647931e-18,1.947400857294836e-17,True,True
DECAF,TabPFN DAG-aware,NNAA_distance_0p5,20,0.45375000000000004,3.893483610217646e-18,1.9348057697817914e-17,True,True
DECAF,TabPFN DAG-aware,NNAA_distance_0p5,50,0.483875,3.889092982277817e-18,1.9348057697817914e-17,True,True
DECAF,TabPFN DAG-aware,NNAA_distance_0p5,100,0.49062500000000003,3.8879960588766175e-18,1.9348057697817914e-17,True,True
DECAF,TabPFN DAG-aware,NNAA_distance_0p5,200,0.4902500000000001,3.885145430424942e-18,1.9348057697817914e-17,True,True
DECAF,TabPFN DAG-aware,NNAA_distance_0p5,500,0.494375,3.869611539563583e-18,1.9348057697817914e-17,True,True
CausalDiffTab,TabPFN vanilla,CMD,20,0.5212518120455573,3.63574062749329e-15,1.8178703137466448e-14,True,True
CausalDiffTab,TabPFN vanilla,CMD,50,0.0411018577343899,0.15065555303262182,0.30131110606524364,False,True
CausalDiffTab,TabPFN vanilla,CMD,100,0.03786243537759221,0.3426319759495927,0.3426319759495927,False,True
CausalDiffTab,TabPFN vanilla,CMD,200,0.047977291091412216,0.0628666066190492,0.18859981985714763,False,True
CausalDiffTab,TabPFN vanilla,CMD,500,0.10666598983393696,8.493116992118602e-07,3.397246796847441e-06,True,True
CausalDiffTab,TabPFN vanilla,kMTVD,20,0.24454166666666666,3.896120241954008e-18,1.948060120977004e-17,True,True
CausalDiffTab,TabPFN vanilla,kMTVD,50,0.09954166666666664,3.89655984509591e-18,1.948060120977004e-17,True,True
CausalDiffTab,TabPFN vanilla,kMTVD,100,0.05812500000000004,3.896340037647931e-18,1.948060120977004e-17,True,True
CausalDiffTab,TabPFN vanilla,kMTVD,200,0.04450000000000004,3.896340037647931e-18,1.948060120977004e-17,True,True
CausalDiffTab,TabPFN vanilla,kMTVD,500,0.015333333333333296,9.593966394967829e-16,9.593966394967829e-16,True,True
CausalDiffTab,TabPFN vanilla,NNAA_distance_0p5,20,0.40725,3.895241176705638e-18,1.946741805108823e-17,True,True
CausalDiffTab,TabPFN vanilla,NNAA_distance_0p5,50,0.21275,3.893483610217646e-18,1.946741805108823e-17,True,True
CausalDiffTab,TabPFN vanilla,NNAA_distance_0p5,100,0.12425000000000008,3.895680685825538e-18,1.946741805108823e-17,True,True
CausalDiffTab,TabPFN vanilla,NNAA_distance_0p5,200,0.08387499999999998,3.89414260953766e-18,1.946741805108823e-17,True,True
CausalDiffTab,TabPFN vanilla,NNAA_distance_0p5,500,0.04949999999999996,3.893483610217646e-18,1.946741805108823e-17,True,True
CausalDiffTab,TabPFN DAG-aware,CMD,20,0.8430417046994858,4.266322730718234e-18,2.133161365359117e-17,True,True
CausalDiffTab,TabPFN DAG-aware,CMD,50,0.14073688027401982,3.841009775346635e-15,3.841009775346635e-15,True,True
CausalDiffTab,TabPFN DAG-aware,CMD,100,0.1230504323073934,2.6859459865305274e-16,8.30489487019547e-16,True,True
CausalDiffTab,TabPFN DAG-aware,CMD,200,0.10190553429695107,8.339250355331123e-16,1.6678500710662247e-15,True,True
CausalDiffTab,TabPFN DAG-aware,CMD,500,0.12122861883918559,2.0762237175488676e-16,8.30489487019547e-16,True,True
CausalDiffTab,TabPFN DAG-aware,kMTVD,20,0.26116666666666677,3.896340037647931e-18,1.9481700188239653e-17,True,True
CausalDiffTab,TabPFN DAG-aware,kMTVD,50,0.10741666666666669,3.896340037647931e-18,1.9481700188239653e-17,True,True
CausalDiffTab,TabPFN DAG-aware,kMTVD,100,0.06208333333333339,3.896340037647931e-18,1.9481700188239653e-17,True,True
CausalDiffTab,TabPFN DAG-aware,kMTVD,200,0.046708333333333366,3.896340037647931e-18,1.9481700188239653e-17,True,True
CausalDiffTab,TabPFN DAG-aware,kMTVD,500,0.015666666666666662,6.800380360242731e-18,1.9481700188239653e-17,True,True
CausalDiffTab,TabPFN DAG-aware,NNAA_distance_0p5,20,0.41525,3.8948017145896716e-18,1.9471811497364038e-17,True,True
CausalDiffTab,TabPFN DAG-aware,NNAA_distance_0p5,50,0.2168749999999999,3.89655984509591e-18,1.9471811497364038e-17,True,True
CausalDiffTab,TabPFN DAG-aware,NNAA_distance_0p5,100,0.122,3.8948017145896716e-18,1.9471811497364038e-17,True,True
CausalDiffTab,TabPFN DAG-aware,NNAA_distance_0p5,200,0.0862500000000001,3.895241176705638e-18,1.9471811497364038e-17,True,True
CausalDiffTab,TabPFN DAG-aware,NNAA_distance_0p5,500,0.05187500000000006,3.894362299472808e-18,1.9471811497364038e-17,True,True
