algorithm,column_order,actual_column_order,graph_structure,reordered_graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,ate_difference,ate_relative_error,ate_synthetic,ate_test,dataset_name,intervention_values,intervention_variable,n_synthetic_samples,n_test_samples,target_variable
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,20,21,action_insulin_U_per_min,213.54892490707368,93.28126207162155,215.83822631835935,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,21,22,action_insulin_U_per_min,132.9588570753482,58.078353693355446,-130.6695556640625,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,22,23,action_insulin_U_per_min,15.200047953948683,6.639601006235436,17.489349365234375,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,23,24,action_insulin_U_per_min,59.30446864761382,25.90505049062452,-57.015167236328125,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,24,25,action_insulin_U_per_min,28.01147983871431,12.235819932065134,30.30078125,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,25,26,action_insulin_U_per_min,3.6393484910580582,1.5897201098627587,5.92864990234375,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,26,27,action_insulin_U_per_min,82.34020473159819,35.96739351388213,-80.0509033203125,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,28,29,action_insulin_U_per_min,154.29276035629243,67.39731150982004,156.58206176757812,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,29,30,action_insulin_U_per_min,17.700780375823683,7.731957132670778,19.990081787109375,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,30,31,action_insulin_U_per_min,0.3527779737856917,0.1540985263218653,1.9365234375,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,31,32,action_insulin_U_per_min,16.68903110824556,7.290010404909003,18.97833251953125,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,32,33,action_insulin_U_per_min,168.72194911636382,73.70019005999218,-166.43264770507812,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,35,36,action_insulin_U_per_min,144.5964303175357,63.16181416947149,-142.30712890625,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,36,37,action_insulin_U_per_min,318.0049795945737,138.90917903028736,320.2942810058594,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,37,38,action_insulin_U_per_min,91.00225307144194,39.7511016342467,-88.71295166015625,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,38,39,action_insulin_U_per_min,168.8975777784732,73.77690720228003,-166.6082763671875,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,39,40,action_insulin_U_per_min,109.45922328628568,47.813373436402344,-107.169921875,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,40,41,action_insulin_U_per_min,289.5187935987857,126.46600057621482,-287.2294921875,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,42,43,action_insulin_U_per_min,155.52581264175444,67.93592659972624,-153.23651123046875,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,44,45,action_insulin_U_per_min,25.779627339020067,11.260914448369643,-23.490325927734375,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,45,46,action_insulin_U_per_min,62.78731776870757,27.426409409954307,-60.498016357421875,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,46,47,action_insulin_U_per_min,98.84786464370757,43.17817835450237,-96.55856323242188,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,47,48,action_insulin_U_per_min,296.9326224168393,129.70446833826017,299.221923828125,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,49,50,action_insulin_U_per_min,51.19091273941069,22.360931805245087,-48.901611328125,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,51,52,action_insulin_U_per_min,24.22894810043306,10.583555306867988,26.51824951171875,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,52,53,action_insulin_U_per_min,155.74423740707368,68.03133769948028,158.03353881835938,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,53,54,action_insulin_U_per_min,176.5613961378482,77.1245740152188,-174.2720947265625,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,54,55,action_insulin_U_per_min,21.240442768707567,9.27813291163733,-18.951141357421875,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,55,56,action_insulin_U_per_min,25.63178013168306,11.196332647734677,27.92108154296875,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,57,58,action_insulin_U_per_min,464.0156197706607,202.6887405403142,-461.726318359375,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
vanilla,original,"action_CHO_g,glucose_kinetics_1,ins_action_prod_2,ka1,sto_liquid,kp3,ins_action_prod_1,subcut_insulin_1,m4,intestine,m1,subcut_glucose,f,kd,Vi,glucose_kinetics_2,sto_solid,ke2,Ib,kmin,m2,d,BW,kabs,subcut_insulin_2,insulin_kinetics,insulin_liver,CR,kmax,CF,action_insulin_U_per_min,kp1,ins_action_utilization,b,ka2,ke1,u2ss,Fsnc",no_graph,no_reorder,0,0,0,20,58,59,action_insulin_U_per_min,10.44624088607759,4.56306925535458,12.73554229736328,2.289301411285692,simglucose_static_scm,"0.634,2.652",action_insulin_U_per_min,2000,2000,subcut_glucose
