dataset,dataset_display,is_noise_robustness,train_size,outcome_units,intervention_variable,target_variable,intervention_values,ate_test,abs_ate_test,baseline_condition,baseline_label,baseline_median_abs_error,baseline_median_abs_error_ci_low,baseline_median_abs_error_ci_high,baseline_median_relative_error_percent,comparator_condition,comparator_label,comparator_median_abs_error,comparator_median_abs_error_ci_low,comparator_median_abs_error_ci_high,comparator_median_relative_error_percent,relative_reduction_from_median_errors_percent,paired_n_seeds,paired_median_abs_error_reduction,paired_hl_abs_error_reduction,paired_median_relative_reduction_percent,paired_median_relative_reduction_percent_ci_low,paired_median_relative_reduction_percent_ci_high
csuite_mixed_simpson,CSuite mixed Simpson,False,1000,native outcome units,x0_0,x1_0,"0,1",0.7273756874501704,0.7273756874501704,vanilla_original,Vanilla original,0.0809685004651545,0.0541059089601039,0.1005479110181331,11.13159291163432,dag_topological,DAG-aware,0.056505353540182,0.0423505915105342,0.06643027195334425,7.768386339425589,30.213165347554423,100,0.0160254836082458,0.021128847554326105,23.820229021205638,-6.136774562028315,39.10716351122156
csuite_nonlin_simpson,CSuite nonlinear Simpson,False,20,native outcome units,x1_0,x2_0,"-1.0,2.0",1.9569749579429627,1.9569749579429627,vanilla_original,Vanilla original,0.729882691860199,0.5416751251220704,0.9982505142688751,37.29647581323174,dag_topological,DAG-aware,0.2892819390296937,0.2178316369056701,0.3534269080162049,14.78209712676992,60.36596808558073,100,0.43655306100845337,0.5253826975822449,60.75726137589499,47.56212869937596,66.71758989410738
csuite_nonlin_simpson,CSuite nonlinear Simpson,False,50,native outcome units,x1_0,x2_0,"-1.0,2.0",1.9569749579429627,1.9569749579429627,vanilla_original,Vanilla original,0.4187021255493164,0.3287049279212952,0.5206942305564881,21.395374726175703,dag_topological,DAG-aware,0.1226466298103332,0.101739381313324,0.1529975190162658,6.267153767733994,70.70790370375434,100,0.27220410108566284,0.3365726895332336,68.33208274666791,63.22128202698471,77.08236295814099
csuite_nonlin_simpson,CSuite nonlinear Simpson,False,100,native outcome units,x1_0,x2_0,"-1.0,2.0",1.9569749579429627,1.9569749579429627,vanilla_original,Vanilla original,0.27752116775512703,0.24456280469894404,0.3224700689315796,14.181130250477915,dag_topological,DAG-aware,0.1006075487136841,0.0775778546333312,0.12108812189102175,5.140972719417714,63.74779281612999,100,0.19886547327041626,0.19851295423507687,65.62274776022561,58.43994301822846,75.9250973140566
csuite_nonlin_simpson,CSuite nonlinear Simpson,False,200,native outcome units,x1_0,x2_0,"-1.0,2.0",1.9569749579429627,1.9569749579429627,vanilla_original,Vanilla original,0.17752099037170405,0.1357532486915589,0.2462578072547911,9.071193765213113,dag_topological,DAG-aware,0.14177393913269037,0.10260832309722895,0.17779145097732552,7.2445453917158655,20.13680250665815,100,0.0703470110893249,0.06835824251174927,30.14236873761695,19.247412781029244,45.33455897945722
csuite_nonlin_simpson,CSuite nonlinear Simpson,False,500,native outcome units,x1_0,x2_0,"-1.0,2.0",1.9569749579429627,1.9569749579429627,vanilla_original,Vanilla original,0.12888560152053835,0.0794508709907531,0.1520564303398133,6.585960693948481,dag_topological,DAG-aware,0.1260696396827698,0.0967097535133361,0.15659848308563235,6.442067087832615,2.1848537032430433,100,-0.0001936554908752476,0.004238533258438145,0.625852634414686,-8.4171489313431,20.468381665097247
csuite_nonlin_simpson,CSuite nonlinear Simpson,False,1000,native outcome units,x1_0,x2_0,"-1.0,2.0",1.9569749579429627,1.9569749579429627,vanilla_original,Vanilla original,0.1055392370223999,0.07831305265426636,0.1423794970512391,5.3929784126280005,dag_topological,DAG-aware,0.0519315943717957,0.0415596022605895,0.0665087952613829,2.65366678101914,50.79404036171531,100,0.0521124601364136,0.056191529273986754,47.3163722491265,28.315788606689825,57.292139326172
csuite_symprod_simpson,CSuite symprod Simpson,False,20,native outcome units,x1_0,x2_0,"-2.0,2.0",-0.0370617429185658,0.0370617429185658,vanilla_original,Vanilla original,0.21239250846393398,0.16859578393213442,0.25178469717502594,573.0774964647906,dag_topological,DAG-aware,0.26212368108518425,0.1752220908571034,0.3586064646411687,707.2621534857037,-23.414748938611943,100,-0.05089019290916625,-0.05379187341686336,-23.04095894055532,-37.68915151979024,-9.658251547813855
csuite_symprod_simpson,CSuite symprod Simpson,False,50,native outcome units,x1_0,x2_0,"-2.0,2.0",-0.0370617429185658,0.0370617429185658,vanilla_original,Vanilla original,0.23735211789608002,0.1825564881395548,0.2940913061071187,640.4235181750716,dag_topological,DAG-aware,0.2186671122908592,0.1615592619013041,0.2754095862079412,590.0076334006385,7.87227254209785,100,-0.014193043112754863,-0.0016723510613665046,-5.96391349822421,-15.288902094220003,3.6396923699579733
csuite_symprod_simpson,CSuite symprod Simpson,False,100,native outcome units,x1_0,x2_0,"-2.0,2.0",-0.0370617429185658,0.0370617429185658,vanilla_original,Vanilla original,0.13668440654873845,0.12034643975095818,0.1784129371475428,368.8018851381844,dag_topological,DAG-aware,0.15086682937853035,0.1169408033061772,0.1912726382184773,407.0689004292739,-10.376035707288075,100,-0.008926250040531204,-0.006830510423518732,-5.071988027942528,-24.84811457103196,13.121841014666082
csuite_symprod_simpson,CSuite symprod Simpson,False,200,native outcome units,x1_0,x2_0,"-2.0,2.0",-0.0370617429185658,0.0370617429185658,vanilla_original,Vanilla original,0.09006120450794694,0.07962648891098795,0.11061751894466575,243.0031547783235,dag_topological,DAG-aware,0.0849165073055774,0.06669611163251095,0.1154510458540171,229.1217320571261,5.71244547580482,100,0.0004073833655565979,0.0013530268874019516,0.6271093967378112,-31.504292938811172,19.060794211689007
csuite_symprod_simpson,CSuite symprod Simpson,False,500,native outcome units,x1_0,x2_0,"-2.0,2.0",-0.0370617429185658,0.0370617429185658,vanilla_original,Vanilla original,0.06733342580683524,0.05452707409858695,0.07479000412113959,181.67905906309926,dag_topological,DAG-aware,0.0457784458994865,0.037253736929968,0.0575515782069414,123.51940921956503,32.01230243235392,100,0.0122828934732825,0.02005445238109677,27.93834098894817,2.6102632482269756,44.2623361252297
csuite_symprod_simpson,CSuite symprod Simpson,False,1000,native outcome units,x1_0,x2_0,"-2.0,2.0",-0.0370617429185658,0.0370617429185658,vanilla_original,Vanilla original,0.057664043681696045,0.052542931811884,0.07321910001337525,155.58913084146826,dag_topological,DAG-aware,0.044576770160347196,0.0296361469123512,0.06304310075938699,120.2770475697643,22.69572628931513,100,0.012808501720428501,0.012616735390387452,21.131665837058126,5.270941017618097,40.05977766244219
csuite_weak_arrows,CSuite weak arrows,False,20,native outcome units,x7_0,x8_0,"0.5,2.5",1.0843954008622094,1.0843954008622094,vanilla_original,Vanilla original,0.4909830313725396,0.3842179852919654,0.6091322225136682,45.277122254682745,dag_topological,DAG-aware,0.5231159549755975,0.3947284299330786,0.6308318454222754,48.24033323635132,-6.544609803159693,100,-0.010145664215087863,-0.01178839802742004,-1.9096556395056186,-5.9533234748890935,0.8315959533206712
csuite_weak_arrows,CSuite weak arrows,False,50,native outcome units,x7_0,x8_0,"0.5,2.5",1.0843954008622094,1.0843954008622094,vanilla_original,Vanilla original,0.14380807461310186,0.1057605069680138,0.190323531627655,13.261590237173555,dag_topological,DAG-aware,0.1515295583205298,0.1149609166579321,0.1741207838058471,13.973644502738363,-5.369297745068672,100,0.009163967947475602,0.006586432456970247,6.946026588706204,-3.0815202673683393,14.92261196655641
csuite_weak_arrows,CSuite weak arrows,False,100,native outcome units,x7_0,x8_0,"0.5,2.5",1.0843954008622094,1.0843954008622094,vanilla_original,Vanilla original,0.1002547222571448,0.0804586488204077,0.1226029318375512,9.24521831957528,dag_topological,DAG-aware,0.09009099783468995,0.0751837569670752,0.1235998272895813,8.307947245355155,10.137900932372805,100,-0.00407571377325815,-0.0004193335771560773,-2.9993028340897414,-15.458734050479714,6.943437467071108
csuite_weak_arrows,CSuite weak arrows,False,200,native outcome units,x7_0,x8_0,"0.5,2.5",1.0843954008622094,1.0843954008622094,vanilla_original,Vanilla original,0.0778650641441345,0.0555721521377563,0.09766423702239985,7.1805048308231,dag_topological,DAG-aware,0.0852980613708496,0.0701004266738891,0.0981553870635107,7.8659556563066,-9.545997692824121,100,-0.0049270689487457015,-0.005653481771703755,-8.980954348342733,-26.21136522682079,15.688651663570708
csuite_weak_arrows,CSuite weak arrows,False,500,native outcome units,x7_0,x8_0,"0.5,2.5",1.0843954008622094,1.0843954008622094,vanilla_original,Vanilla original,0.060465097427368095,0.046915404180996,0.0685256641907616,5.57592713684436,dag_topological,DAG-aware,0.0453738051848486,0.03503525257110595,0.052708625793457003,4.18424913539578,24.958683413431135,100,0.012773275375366249,0.012425750494003298,21.28934967240584,-8.105772162800092,37.83809206896686
csuite_weak_arrows,CSuite weak arrows,False,1000,native outcome units,x7_0,x8_0,"0.5,2.5",1.0843954008622094,1.0843954008622094,vanilla_original,Vanilla original,0.02737408876419065,0.0206310826735571,0.0360544842286034,2.524364151897485,dag_topological,DAG-aware,0.03521537003945545,0.0283904153304175,0.039902098794467794,3.2474658239472,-28.64490337125798,100,-0.0044158697128296,-0.005623545338865325,-17.05772174300281,-62.0889797566044,8.416526654485368
custom_scm,Custom SCM,False,20,SCM outcome units,X3,X1,"0,1",4.9837298822987,4.9837298822987,vanilla_original,Vanilla original,1.2267459630966187,1.0579227971446592,1.530238194524042,24.61501710704259,dag_topological,DAG-aware,0.1861796808826845,0.1539178324329775,0.2221856546986025,3.7357498355591203,84.82328970435576,100,1.075782342015497,1.2252784967422485,87.67478055152048,84.4011410125434,89.76677144157756
custom_scm,Custom SCM,False,50,SCM outcome units,X3,X1,"0,1",4.9837298822987,4.9837298822987,vanilla_original,Vanilla original,1.152203917503357,0.9298234415638368,1.37441067224621,23.11930912619834,dag_topological,DAG-aware,0.1829750537872314,0.1332220601451474,0.2490934895885068,3.6714480541396353,84.11955982724749,100,0.9861536788356383,1.0029163360595703,83.06509555910807,77.83784663365203,87.9651428155711
custom_scm,Custom SCM,False,100,SCM outcome units,X3,X1,"0,1",4.9837298822987,4.9837298822987,vanilla_original,Vanilla original,0.8261089324951172,0.6476040316212099,0.9093289805042666,16.576117727192752,dag_topological,DAG-aware,0.16277842050670796,0.11542500746104138,0.2007917928111631,3.266196691053965,80.29576801511342,100,0.5518928433632695,0.648547296611655,78.35155668153715,70.79421415543042,85.0429920853652
custom_scm,Custom SCM,False,200,SCM outcome units,X3,X1,"0,1",4.9837298822987,4.9837298822987,vanilla_original,Vanilla original,0.34271812438964844,0.2796761382803621,0.4985523653614443,6.8767395602020995,dag_topological,DAG-aware,0.16191478246570407,0.1198311281788271,0.197791576385498,3.24886754077093,52.755698942371254,100,0.21849656105041504,0.2684061527252198,58.457214357856884,47.31238102911999,69.17483388971267
custom_scm,Custom SCM,False,500,SCM outcome units,X3,X1,"0,1",4.9837298822987,4.9837298822987,vanilla_original,Vanilla original,0.27439780706287203,0.23678326606750483,0.3482986388829124,5.50587237959029,dag_topological,DAG-aware,0.1519107388866025,0.1173282099354189,0.1849584149730283,3.04813347581621,44.638501118999244,100,0.1237917376148623,0.13962914708196728,53.632632021257514,38.55946805032225,63.0231027789351
custom_scm,Custom SCM,False,1000,SCM outcome units,X3,X1,"0,1",4.9837298822987,4.9837298822987,vanilla_original,Vanilla original,0.24274186617016008,0.19692154401660739,0.3100948763477724,4.870686652427425,dag_topological,DAG-aware,0.1513991355895996,0.11482405662536616,0.17520256513477145,3.037868005795045,37.62957417346786,100,0.11025123125194725,0.11927392247259228,52.387676429982264,33.70744911443443,58.70279023328418
custom_scm_noise1e-2,Custom SCM (noise 1e-2),True,20,SCM outcome units,X3,X1,"0,1",4.9777496998727,4.9777496998727,vanilla_original,Vanilla original,1.2669307047903855,0.9460145289481002,1.4625254923880415,25.45187647387705,dag_topological,DAG-aware,0.17386078834533691,0.1312688534676711,0.2313183491646926,3.492758753012085,86.27700886181441,100,1.0581181049346924,1.1423070376336257,86.1534760817276,82.37837203509639,88.71026521011127
custom_scm_noise1e-2,Custom SCM (noise 1e-2),True,50,SCM outcome units,X3,X1,"0,1",4.9777496998727,4.9777496998727,vanilla_original,Vanilla original,1.0555090849816482,0.8691501617431641,1.2554901783883254,21.204543189639313,dag_topological,DAG-aware,0.19665825911167456,0.1552489941537063,0.2297457402169387,3.9507462401474998,81.36839730611189,100,0.9076400940835159,0.9124940606564125,82.61002908742248,76.26140659228057,87.01970835674081
custom_scm_noise1e-2,Custom SCM (noise 1e-2),True,100,SCM outcome units,X3,X1,"0,1",4.9777496998727,4.9777496998727,vanilla_original,Vanilla original,0.690787190717427,0.5439910888671875,0.7856101989746094,13.877499520216794,dag_topological,DAG-aware,0.16029977798461909,0.122966414171489,0.2135647480904738,3.22032620460443,76.79462211536703,100,0.45634949751499493,0.5656395472913505,76.24272692094938,64.741595952052,82.57220954252446
custom_scm_noise1e-2,Custom SCM (noise 1e-2),True,200,SCM outcome units,X3,X1,"0,1",4.9777496998727,4.9777496998727,vanilla_original,Vanilla original,0.35938501358032227,0.2712076847970168,0.4449664408743699,7.219828943779815,dag_topological,DAG-aware,0.1630295569479782,0.13679623603820795,0.197289819043843,3.275165823467325,54.636517721254066,100,0.1961938088357131,0.23635375499725342,60.2934544495294,44.370328511520384,66.95786875785868
custom_scm_noise1e-2,Custom SCM (noise 1e-2),True,500,SCM outcome units,X3,X1,"0,1",4.9777496998727,4.9777496998727,vanilla_original,Vanilla original,0.3075004870474656,0.2372811978280227,0.3686844164908249,6.17749998669739,dag_topological,DAG-aware,0.15450811386108396,0.1184722239554245,0.1907612139761765,3.10397515296993,49.75353849204337,100,0.13341485909816436,0.14022093739209973,47.73698415170885,40.65938844388596,62.62127084359216
custom_scm_noise1e-2,Custom SCM (noise 1e-2),True,1000,SCM outcome units,X3,X1,"0,1",4.9777496998727,4.9777496998727,vanilla_original,Vanilla original,0.18349135466221164,0.15277695655822748,0.2271739298880417,3.68623104265174,dag_topological,DAG-aware,0.15138244628906244,0.11146855354309079,0.19098532744053195,3.04118236987556,17.498867144045196,100,0.0479063987731934,0.0489997294932763,33.064761974835086,9.334534083156008,41.50144809379181
simglucose,SimGlucose,False,20,mg/dL,action_insulin_U_per_min,subcut_glucose,"0.634,2.652",2.289301411285692,2.289301411285692,vanilla_original,Vanilla original,84.8974609375,63.89076232910156,109.48850010238618,3708.4440047508133,vanilla_topological,Vanilla topological,50.66099548339844,43.82911682128906,63.77685023941069,2212.945627589806,40.326842612296545,100,29.844059975891696,31.289304025955346,37.97558197030997,9.582884515895389,53.49919528737706
simglucose,SimGlucose,False,50,mg/dL,action_insulin_U_per_min,subcut_glucose,"0.634,2.652",2.289301411285692,2.289301411285692,vanilla_original,Vanilla original,65.16781616210938,45.07309482894868,81.39026881851225,2846.624557205447,vanilla_topological,Vanilla topological,64.43358372055025,44.276145935058594,75.21952819824219,2814.5522211670586,1.1266795249555028,100,6.3864898681640625,14.945569284744412,16.28375564924832,-23.095627958735395,41.20492913366704
simglucose,SimGlucose,False,100,mg/dL,action_insulin_U_per_min,subcut_glucose,"0.634,2.652",2.289301411285692,2.289301411285692,vanilla_original,Vanilla original,79.0050759474185,68.9517936706543,99.80816127456694,3451.05609763498,vanilla_topological,Vanilla topological,51.7958984375,46.17456577621431,67.37490321792632,2262.519831690095,34.4397840058118,100,18.582664489746094,23.232968791351027,14.74736004991364,-8.730026927105325,49.62036151015198
simglucose,SimGlucose,False,200,mg/dL,action_insulin_U_per_min,subcut_glucose,"0.634,2.652",2.289301411285692,2.289301411285692,vanilla_original,Vanilla original,58.91635654769868,46.3074951171875,66.92333461441069,2573.5517506456586,vanilla_topological,Vanilla topological,23.86566685043306,18.38594155666761,28.396642192229933,1042.4868797433662,59.49229000420042,100,33.29259730972319,34.44551347892747,58.00834336294186,39.5834718563539,70.26895644119705
simglucose,SimGlucose,False,500,mg/dL,action_insulin_U_per_min,subcut_glucose,"0.634,2.652",2.289301411285692,2.289301411285692,vanilla_original,Vanilla original,39.578094482421875,31.66821811996431,50.39203403793306,1728.8284665056171,vanilla_topological,Vanilla topological,15.947606547698683,12.994013325348192,21.63677455581694,696.6145422826769,59.70597686358645,100,19.648712158203125,24.29961416725115,62.665252179599115,39.96516786347741,73.21638473501896
simglucose,SimGlucose,False,1000,mg/dL,action_insulin_U_per_min,subcut_glucose,"0.634,2.652",2.289301411285692,2.289301411285692,vanilla_original,Vanilla original,43.53973911605806,35.49683140121431,46.81546543441743,1901.8788396066097,vanilla_topological,Vanilla topological,28.053680419921875,20.06719447769194,33.72424839340181,1225.4253756899002,35.56764236656786,100,11.29833984375,9.060518972091526,23.480330323044154,1.4805179022738681,44.80325256912603
