Dataset,N,Outcome units,|ATE_test|,Vanilla |Delta_ATE| median [95% CI],Comparator,Comparator |Delta_ATE| median [95% CI],Reduction from medians (%),Paired median reduction (%)
CSuite symprod Simpson,100,native outcome units,0.0371,"0.137 [0.12, 0.178]",DAG-aware,"0.151 [0.117, 0.191]",-10.4,-5.07
CSuite symprod Simpson,200,native outcome units,0.0371,"0.0901 [0.0796, 0.111]",DAG-aware,"0.0849 [0.0667, 0.115]",5.71,0.627
CSuite symprod Simpson,500,native outcome units,0.0371,"0.0673 [0.0545, 0.0748]",DAG-aware,"0.0458 [0.0373, 0.0576]",32,27.9
CSuite symprod Simpson,1000,native outcome units,0.0371,"0.0577 [0.0525, 0.0732]",DAG-aware,"0.0446 [0.0296, 0.063]",22.7,21.1
CSuite weak arrows,20,native outcome units,1.08,"0.491 [0.384, 0.609]",DAG-aware,"0.523 [0.395, 0.631]",-6.54,-1.91
CSuite weak arrows,50,native outcome units,1.08,"0.144 [0.106, 0.19]",DAG-aware,"0.152 [0.115, 0.174]",-5.37,6.95
CSuite weak arrows,100,native outcome units,1.08,"0.1 [0.0805, 0.123]",DAG-aware,"0.0901 [0.0752, 0.124]",10.1,-3
CSuite weak arrows,200,native outcome units,1.08,"0.0779 [0.0556, 0.0977]",DAG-aware,"0.0853 [0.0701, 0.0982]",-9.55,-8.98
CSuite weak arrows,500,native outcome units,1.08,"0.0605 [0.0469, 0.0685]",DAG-aware,"0.0454 [0.035, 0.0527]",25,21.3
CSuite weak arrows,1000,native outcome units,1.08,"0.0274 [0.0206, 0.0361]",DAG-aware,"0.0352 [0.0284, 0.0399]",-28.6,-17.1
Custom SCM,20,SCM outcome units,4.98,"1.23 [1.06, 1.53]",DAG-aware,"0.186 [0.154, 0.222]",84.8,87.7
Custom SCM,50,SCM outcome units,4.98,"1.15 [0.93, 1.37]",DAG-aware,"0.183 [0.133, 0.249]",84.1,83.1
Custom SCM,100,SCM outcome units,4.98,"0.826 [0.648, 0.909]",DAG-aware,"0.163 [0.115, 0.201]",80.3,78.4
Custom SCM,200,SCM outcome units,4.98,"0.343 [0.28, 0.499]",DAG-aware,"0.162 [0.12, 0.198]",52.8,58.5
Custom SCM,500,SCM outcome units,4.98,"0.274 [0.237, 0.348]",DAG-aware,"0.152 [0.117, 0.185]",44.6,53.6
Custom SCM,1000,SCM outcome units,4.98,"0.243 [0.197, 0.31]",DAG-aware,"0.151 [0.115, 0.175]",37.6,52.4
SimGlucose,20,mg/dL,2.29,"84.9 [63.9, 109]",Vanilla topological,"50.7 [43.8, 63.8]",40.3,38
SimGlucose,50,mg/dL,2.29,"65.2 [45.1, 81.4]",Vanilla topological,"64.4 [44.3, 75.2]",1.13,16.3
SimGlucose,100,mg/dL,2.29,"79 [69, 99.8]",Vanilla topological,"51.8 [46.2, 67.4]",34.4,14.7
SimGlucose,200,mg/dL,2.29,"58.9 [46.3, 66.9]",Vanilla topological,"23.9 [18.4, 28.4]",59.5,58
SimGlucose,500,mg/dL,2.29,"39.6 [31.7, 50.4]",Vanilla topological,"15.9 [13, 21.6]",59.7,62.7
SimGlucose,1000,mg/dL,2.29,"43.5 [35.5, 46.8]",Vanilla topological,"28.1 [20.1, 33.7]",35.6,23.5
