dataset,source,train_size,noise_level,skeleton_recall_mean,skeleton_recall_std,skeleton_precision_mean,skeleton_precision_std,skeleton_shd_mean,skeleton_shd_std,direction_precision_mean,direction_precision_std,direction_recall_mean,direction_recall_std,v_structure_precision_mean,v_structure_precision_std,v_structure_recall_mean,v_structure_recall_std,v_structure_f1_mean,v_structure_f1_std,directed_edges_mean,directed_edges_std,skeleton_edges_mean,skeleton_edges_std,v_structures_mean,v_structures_std,runs,runs_with_directed
csuite_nonlin_simpson,csuite,500,,0.7133333333333333,0.11624502933992566,0.9966666666666667,0.03333333333333337,0.87,0.3666666666666667,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.42,1.046205264059331,2.15,0.3588702812826368,0.0,0.0,100,14
csuite_nonlin_simpson,csuite,1000,,0.83,0.16747279793189715,0.9966666666666667,0.03333333333333336,0.52,0.5218459852516185,0.0,0.0,0.0,0.0,,,0.0,0.0,,,1.47,1.5072551813870743,2.5,0.502518907629606,0.0,0.0,100,49
csuite_symprod_simpson,csuite,20,,0.37666666666666665,0.11266588966321035,0.995,0.05,1.88,0.35618630921006345,0.6666666666666666,0.5773502691896258,0.013333333333333332,0.09380352942419311,,,0.0,0.0,,,0.06,0.34289321599553063,1.14,0.348735088019777,0.0,0.0,100,3
csuite_symprod_simpson,csuite,50,,0.49666666666666665,0.16747279793189715,0.9866666666666667,0.07741618689438273,1.54,0.539734315485991,1.0,0.0,0.08666666666666666,0.2253317793264207,,,0.0,0.0,,,0.26,0.6759953379792623,1.52,0.5218459852516184,0.0,0.0,100,13
csuite_symprod_simpson,csuite,100,,0.67,0.0885726698542945,1.0,0.0,0.99,0.26571800956288344,0.75,0.45226701686664544,0.06,0.19174899417644084,,,0.0,0.0,,,0.24,0.6531972647421806,2.01,0.2657180095628835,0.0,0.0,100,12
csuite_symprod_simpson,csuite,200,,0.6733333333333333,0.046901764712096575,0.9866666666666667,0.06564879518897747,1.02,0.24536099975754136,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.04,0.28141058827257937,2.06,0.23868325657594208,0.0,0.0,100,2
csuite_symprod_simpson,csuite,500,,0.6666666666666665,0.0,0.99,0.05714886933258844,1.03,0.17144660799776526,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,2.03,0.1714466079977653,0.0,0.0,100,0
csuite_symprod_simpson,csuite,1000,,0.67,0.03333333333333337,0.9966666666666667,0.033333333333333354,1.0,0.1421338109037403,0.0,,0.0,0.0,,,0.0,0.0,,,0.02,0.19999999999999998,2.02,0.14070529413628974,0.0,0.0,100,1
csuite_weak_arrows,csuite,20,,0.135,0.08303595672511895,0.9496336996336997,0.17162941023220482,12.21,1.208513570674757,0.4,0.21081851067789195,0.005714285714285714,0.01947570888173505,,,0.0,0.0,,,0.2,0.6030226891555273,1.99,1.1933739624029904,0.0,0.0,100,10
csuite_weak_arrows,csuite,50,,0.42714285714285716,0.06089756734479389,0.9844642857142857,0.047074013786785676,8.12,0.9564243173129146,0.30714285714285716,0.2784259477910802,0.02,0.044346418386919155,0.0,0.0,0.0,0.0,,,0.85,1.2900160518929267,6.08,0.8490041700769675,0.05,0.26111648393354675,100,35
csuite_weak_arrows,csuite,100,,0.5007142857142857,0.054194310533174514,0.9924603174603175,0.030078879633009866,7.05,0.7961396760860391,0.11879432624113474,0.21545416084644517,0.012142857142857143,0.03668240512287662,0.0,,0.0,0.0,,,1.07,1.2330056894852637,7.07,0.794615719334913,0.01,0.1,100,47
csuite_weak_arrows,csuite,200,,0.5314285714285714,0.04576476289663207,0.9780429292929292,0.05489301458834033,6.75,0.833333333333333,0.10714285714285714,0.20762167235759685,0.01357142857142857,0.03320165705083798,0.0,,0.0,0.0,,,1.44,1.2658689673201733,7.63,0.7740096311357559,0.01,0.09999999999999999,100,63
csuite_weak_arrows,csuite,500,,0.5757142857142857,0.019842712790243907,0.9891111111111112,0.03580370755240394,6.04,0.4476650984877427,0.022795414462081127,0.07746882749328378,0.009285714285714284,0.03313951070332422,0.0,0.0,0.0,0.0,,,2.4,1.302677894557859,8.16,0.4197161137740796,0.04,0.1969463855669324,100,99
csuite_weak_arrows,csuite,1000,,0.5771428571428571,0.01947570888173508,0.9878888888888889,0.034639396163247904,6.03,0.41328934272260254,0.02261904761904762,0.09597925890831607,0.007857142857142858,0.03193576060793121,0.0,,0.0,0.0,,,2.29,0.902241876682968,8.19,0.4191140246479063,0.01,0.09999999999999999,100,100
custom_scm,custom,20,,0.6766666666666665,0.057148869332588434,1.0,0.0,0.97,0.17144660799776532,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.06,0.3428932159955306,2.03,0.1714466079977653,0.0,0.0,100,3
custom_scm,custom,50,,0.6833333333333332,0.0730143045191968,1.0,0.0,0.95,0.21904291355759029,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.1,0.43808582711518057,2.05,0.21904291355759034,0.0,0.0,100,5
custom_scm,custom,100,,0.6766666666666665,0.05714886933258843,1.0,0.0,0.97,0.1714466079977653,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.06,0.3428932159955306,2.03,0.17144660799776523,0.0,0.0,100,3
custom_scm,custom,200,,0.67,0.03333333333333337,1.0,0.0,0.99,0.09999999999999999,0.0,,0.0,0.0,,,0.0,0.0,,,0.02,0.19999999999999996,2.01,0.09999999999999999,0.0,0.0,100,1
custom_scm,custom,500,,0.67,0.03333333333333336,1.0,0.0,0.99,0.09999999999999999,0.0,,0.0,0.0,,,0.0,0.0,,,0.02,0.19999999999999998,2.01,0.10000000000000006,0.0,0.0,100,1
custom_scm,custom,1000,,0.6666666666666665,0.0,1.0,0.0,1.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,100,0
custom_scm_noise1e-2,custom,20,,0.6766666666666665,0.05714886933258843,1.0,0.0,0.97,0.1714466079977653,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.06,0.3428932159955306,2.03,0.1714466079977653,0.0,0.0,100,3
custom_scm_noise1e-2,custom,50,,0.6866666666666665,0.07956108552531406,1.0,0.0,0.94,0.23868325657594208,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.12,0.47736651315188405,2.06,0.23868325657594225,0.0,0.0,100,6
custom_scm_noise1e-2,custom,100,,0.6766666666666665,0.05714886933258842,0.9933333333333333,0.04690176471209656,0.99,0.22450844172110856,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.08,0.3938927711338647,2.05,0.2190429135575903,0.0,0.0,100,4
custom_scm_noise1e-2,custom,200,,0.6666666666666665,0.0,0.9966666666666667,0.03333333333333337,1.01,0.09999999999999999,0.0,,0.0,0.0,,,0.0,0.0,,,0.02,0.19999999999999996,2.01,0.09999999999999999,0.0,0.0,100,1
custom_scm_noise1e-2,custom,500,,0.68,0.06564879518897744,1.0,0.0,0.96,0.19694638556693236,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.08,0.3938927711338647,2.04,0.1969463855669323,0.0,0.0,100,4
custom_scm_noise1e-2,custom,1000,,0.6833333333333332,0.0730143045191968,1.0,0.0,0.95,0.21904291355759037,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.1,0.4380858271151807,2.05,0.21904291355759034,0.0,0.0,100,5
