dataset,label,train_size,skeleton_recall_published,direction_recall_published,oriented_fraction_published,direction_precision_published,runs_published,runs_with_directed_published,skeleton_recall_new,direction_recall_new,oriented_fraction_new,direction_precision_new,runs_new,runs_with_directed_new,skeleton_recall_delta,skeleton_recall_published_2dp,skeleton_recall_new_2dp,skeleton_recall_changed_2dp,direction_recall_delta,direction_recall_published_2dp,direction_recall_new_2dp,direction_recall_changed_2dp,oriented_fraction_delta,oriented_fraction_published_2dp,oriented_fraction_new_2dp,oriented_fraction_changed_2dp,direction_precision_delta,direction_precision_published_2dp,direction_precision_new_2dp,direction_precision_changed_2dp
csuite_mixed_simpson,CMS,100,0.46,0.01,0.13609467455621302,0.1428571428571428,100,7,0.46,0.01,0.13609467455621302,0.1428571428571428,100,7,0.0,0.46,0.46,False,0.0,0.01,0.01,False,0.0,0.14,0.14,False,0.0,0.14,0.14,False
csuite_mixed_simpson,CMS,200,0.6433333333333333,0.02,0.37944664031620556,0.074074074074074,100,27,0.6433333333333333,0.02,0.37944664031620556,0.074074074074074,100,27,0.0,0.64,0.64,False,0.0,0.02,0.02,False,0.0,0.38,0.38,False,0.0,0.07,0.07,False
csuite_mixed_simpson,CMS,500,0.8166666666666668,0.02,0.6073619631901841,0.0352564102564102,100,52,0.8166666666666668,0.02,0.6073619631901841,0.0352564102564102,100,52,0.0,0.82,0.82,False,0.0,0.02,0.02,False,0.0,0.61,0.61,False,0.0,0.04,0.04,False
csuite_mixed_simpson,CMS,1000,0.8833333333333333,0.0266666666666666,0.707808564231738,0.0293427230046948,100,71,0.8833333333333333,0.0266666666666666,0.707808564231738,0.0293427230046948,100,71,0.0,0.88,0.88,False,0.0,0.03,0.03,False,0.0,0.71,0.71,False,0.0,0.03,0.03,False
csuite_nonlin_simpson,CNS,20,0.31,0.0033333333333333,0.020618556701030927,0.5,100,1,0.31,0.0033333333333333,0.020618556701030927,0.5,100,1,0.0,0.31,0.31,False,0.0,0.0,0.0,False,0.0,0.02,0.02,False,0.0,0.5,0.5,False
csuite_nonlin_simpson,CNS,50,0.4,0.0,0.0,,100,0,0.4,0.0,0.0,,100,0,0.0,0.4,0.4,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,,,,False
csuite_nonlin_simpson,CNS,100,0.5566666666666666,0.0033333333333333,0.06395348837209303,0.125,100,4,0.5566666666666666,0.0033333333333333,0.06395348837209303,0.125,100,4,0.0,0.56,0.56,False,0.0,0.0,0.0,False,0.0,0.06,0.06,False,0.0,0.12,0.12,False
csuite_nonlin_simpson,CNS,200,0.6366666666666666,0.0066666666666666,0.10344827586206898,0.1428571428571428,100,7,0.6366666666666666,0.0066666666666666,0.10344827586206898,0.1428571428571428,100,7,0.0,0.64,0.64,False,0.0,0.01,0.01,False,0.0,0.1,0.1,False,0.0,0.14,0.14,False
csuite_nonlin_simpson,CNS,500,0.7133333333333333,0.0,0.19534883720930232,0.0,100,14,0.7133333333333333,0.0,0.19534883720930232,0.0,100,14,0.0,0.71,0.71,False,0.0,0.0,0.0,False,0.0,0.2,0.2,False,0.0,0.0,0.0,False
csuite_nonlin_simpson,CNS,1000,0.83,0.0,0.588,0.0,100,49,0.83,0.0,0.588,0.0,100,49,0.0,0.83,0.83,False,0.0,0.0,0.0,False,0.0,0.59,0.59,False,0.0,0.0,0.0,False
csuite_symprod_simpson,CSS,20,0.3766666666666666,0.0133333333333333,0.052631578947368425,0.6666666666666666,100,3,0.3766666666666666,0.0133333333333333,0.052631578947368425,0.6666666666666666,100,3,0.0,0.38,0.38,False,0.0,0.01,0.01,False,0.0,0.05,0.05,False,0.0,0.67,0.67,False
csuite_symprod_simpson,CSS,50,0.4966666666666666,0.0866666666666666,0.17105263157894737,1.0,100,13,0.4966666666666666,0.0866666666666666,0.17105263157894737,1.0,100,13,0.0,0.5,0.5,False,0.0,0.09,0.09,False,0.0,0.17,0.17,False,0.0,1.0,1.0,False
csuite_symprod_simpson,CSS,100,0.67,0.06,0.11940298507462688,0.75,100,12,0.67,0.06,0.11940298507462688,0.75,100,12,0.0,0.67,0.67,False,0.0,0.06,0.06,False,0.0,0.12,0.12,False,0.0,0.75,0.75,False
csuite_symprod_simpson,CSS,200,0.6733333333333333,0.0,0.019417475728155338,0.0,100,2,0.6733333333333333,0.0,0.019417475728155338,0.0,100,2,0.0,0.67,0.67,False,0.0,0.0,0.0,False,0.0,0.02,0.02,False,0.0,0.0,0.0,False
csuite_symprod_simpson,CSS,500,0.6666666666666665,0.0,0.0,,100,0,0.6666666666666665,0.0,0.0,,100,0,0.0,0.67,0.67,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,,,,False
csuite_symprod_simpson,CSS,1000,0.67,0.0,0.009900990099009901,0.0,100,1,0.67,0.0,0.009900990099009901,0.0,100,1,0.0,0.67,0.67,False,0.0,0.0,0.0,False,0.0,0.01,0.01,False,0.0,0.0,0.0,False
csuite_weak_arrows,CWA,20,0.135,0.0057142857142857,0.10050251256281408,0.4,100,10,0.135,0.0057142857142857,0.10050251256281408,0.4,100,10,0.0,0.14,0.14,False,0.0,0.01,0.01,False,0.0,0.1,0.1,False,0.0,0.4,0.4,False
csuite_weak_arrows,CWA,50,0.4271428571428571,0.02,0.13980263157894737,0.3071428571428571,100,35,0.4271428571428571,0.02,0.13980263157894737,0.3071428571428571,100,35,0.0,0.43,0.43,False,0.0,0.02,0.02,False,0.0,0.14,0.14,False,0.0,0.31,0.31,False
csuite_weak_arrows,CWA,100,0.5007142857142857,0.0121428571428571,0.15134370579915135,0.1187943262411347,100,47,0.5007142857142857,0.0121428571428571,0.15134370579915135,0.1187943262411347,100,47,0.0,0.5,0.5,False,0.0,0.01,0.01,False,0.0,0.15,0.15,False,0.0,0.12,0.12,False
csuite_weak_arrows,CWA,200,0.5314285714285714,0.0135714285714285,0.18872870249017037,0.1071428571428571,100,63,0.5314285714285714,0.0135714285714285,0.18872870249017037,0.1071428571428571,100,63,0.0,0.53,0.53,False,0.0,0.01,0.01,False,0.0,0.19,0.19,False,0.0,0.11,0.11,False
csuite_weak_arrows,CWA,500,0.5757142857142857,0.0092857142857142,0.29411764705882354,0.0227954144620811,100,99,0.5757142857142857,0.0092857142857142,0.29411764705882354,0.0227954144620811,100,99,0.0,0.58,0.58,False,0.0,0.01,0.01,False,0.0,0.29,0.29,False,0.0,0.02,0.02,False
csuite_weak_arrows,CWA,1000,0.5771428571428571,0.0078571428571428,0.2796092796092796,0.0226190476190476,100,100,0.5771428571428571,0.0078571428571428,0.2796092796092796,0.0226190476190476,100,100,0.0,0.58,0.58,False,0.0,0.01,0.01,False,0.0,0.28,0.28,False,0.0,0.02,0.02,False
