algorithm,column_order,train_size,n_samples,mean_synthetic_corr_X0_X3,mean_synthetic_corr_X0_X2,std_synthetic_corr_X0_X3,std_synthetic_corr_X0_X2,mean_test_corr_X0_X3,mean_test_corr_X0_X2,mean_abs_diff_corr_X0_X3,mean_abs_diff_corr_X0_X2,max_abs_diff_corr_X0_X3,max_abs_diff_corr_X0_X2
dag,topological,20,100,0.0038655584,0.0035253016,0.021293363,0.020879772,0.021689465843427843,0.02169014682988854,0.023697706414186157,0.023950570564130736,0.06611695384262867,0.06895900314669341
dag,topological,50,100,6.170664e-06,5.648343e-05,0.023135023,0.023522522,0.021689465843427843,0.02169014682988854,0.02609967781660231,0.026294546444779677,0.07171591242431469,0.07144440507511825
dag,topological,100,100,0.00038800575,0.00040536106,0.019645358,0.01967429,0.021689465843427843,0.02169014682988854,0.024373273284703352,0.024354401566567575,0.06645312776445217,0.0678308436832878
dag,topological,200,100,-0.0012696215,-0.0011009932,0.025240343,0.02535286,0.021689465843427843,0.02169014682988854,0.027960895909403507,0.027853135283450077,0.0868501873838789,0.08800202777604789
dag,topological,500,100,0.0007774372,0.0008554273,0.022799162,0.02294506,0.021689465843427843,0.02169014682988854,0.025273455368903817,0.025339751439231995,0.07896788289426632,0.07825979014854163
vanilla,original,20,100,-0.14893343,-0.14965253,0.20277877,0.20152766,0.021689465843427843,0.02169014682988854,0.21446758164321872,0.21419454072990768,0.7108573230135329,0.7213382886908505
vanilla,original,50,100,-0.02305026,-0.024696527,0.14277665,0.14305666,0.021689465843427843,0.02169014682988854,0.11873973037138588,0.12034398329741097,0.4316125424730665,0.4288889037631008
vanilla,original,100,100,-0.042330775,-0.042892084,0.11372498,0.1139164,0.021689465843427843,0.02169014682988854,0.10031781696607296,0.10072909067792814,0.32164823135017223,0.32180597057561605
vanilla,original,200,100,-0.02859003,-0.03526548,0.1038713,0.080119185,0.021689465843427843,0.02169014682988854,0.08429502239712168,0.07856857133020954,0.6015070168149583,0.2444346415064785
vanilla,original,500,100,-0.02796518,-0.02809483,0.042725645,0.042638786,0.021689465843427843,0.02169014682988854,0.05528293962971251,0.05537735987693776,0.1729967208731062,0.1732850836775753
vanilla,topological,20,100,-0.017809464,-0.017875636,0.109806344,0.108893864,0.021689465843427843,0.02169014682988854,0.07808559717784716,0.07803271900544119,0.48461203893302746,0.4891053604147884
vanilla,topological,50,100,0.0052756476,0.005871606,0.0754587,0.075845174,0.021689465843427843,0.02169014682988854,0.0533407293886119,0.0531899020084978,0.32971405109046764,0.32648678293447225
vanilla,topological,100,100,-0.017480604,-0.017194998,0.06373681,0.06342881,0.021689465843427843,0.02169014682988854,0.05103988635149438,0.050741163313178586,0.265742084585417,0.2657174037955257
vanilla,topological,200,100,-0.011989795,-0.012053552,0.042238045,0.042358343,0.021689465843427843,0.02169014682988854,0.039291570127883056,0.039533495618747076,0.16321109851478405,0.1624407040141079
vanilla,topological,500,100,-0.003469668,-0.0034556838,0.025240032,0.025237758,0.021689465843427843,0.02169014682988854,0.028636530548417357,0.028691816392883273,0.1040950404631979,0.1034458445570919
vanilla,reverse_topological,20,100,-0.1267151,-0.123486415,0.19514467,0.19712229,0.021689465843427843,0.02169014682988854,0.20015562986582666,0.19855829956082538,0.6823698790895827,0.6872154640219662
vanilla,reverse_topological,50,100,-0.030167952,-0.030895267,0.14796852,0.14575897,0.021689465843427843,0.02169014682988854,0.126093753373292,0.12335446007902155,0.4270880134928114,0.42733605375508993
vanilla,reverse_topological,100,100,-0.04652957,-0.044926416,0.101212874,0.1010154,0.021689465843427843,0.02169014682988854,0.09475541180261064,0.0943705732807286,0.31374072154640026,0.31163539161901205
vanilla,reverse_topological,200,100,-0.036027536,-0.027689645,0.08204874,0.11217556,0.021689465843427843,0.02169014682988854,0.0830773840150611,0.08944917205718919,0.2335280986654646,0.71341501006861
vanilla,reverse_topological,500,100,-0.03286911,-0.031771373,0.040210925,0.040077504,0.021689465843427843,0.02169014682988854,0.05798543754268887,0.05704160324648018,0.15366857370017833,0.15385930409650536
