source,dataset,condition,raw_condition,sample_size,repetition,n_preserved,fraction_preserved,n_triples_total,n_reference_independent,n_concordant,fraction_concordant,n_failed_reference,n_failed_synthetic,independence_test,triple_seed,reference_path,synthetic_path,status,excluded_columns
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,10,197,0.9949494949494948,200,198,198,0.99,0,0,kci,3761696853,train_ts20_s10.npz,synthetic_cpdag_discovered_original_ts20_s10.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,11,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s11.npz,synthetic_cpdag_discovered_original_ts20_s11.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,12,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s12.npz,synthetic_cpdag_discovered_original_ts20_s12.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,13,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s13.npz,synthetic_cpdag_discovered_original_ts20_s13.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,14,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s14.npz,synthetic_cpdag_discovered_original_ts20_s14.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,15,198,1.0,200,198,199,0.995,0,0,kci,3761696853,train_ts20_s15.npz,synthetic_cpdag_discovered_original_ts20_s15.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,16,197,1.0,200,197,199,0.995,0,0,kci,3761696853,train_ts20_s16.npz,synthetic_cpdag_discovered_original_ts20_s16.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,17,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s17.npz,synthetic_cpdag_discovered_original_ts20_s17.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,18,198,1.0,200,198,199,0.995,0,0,kci,3761696853,train_ts20_s18.npz,synthetic_cpdag_discovered_original_ts20_s18.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,19,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s19.npz,synthetic_cpdag_discovered_original_ts20_s19.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,20,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s20.npz,synthetic_cpdag_discovered_original_ts20_s20.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,21,198,1.0,200,198,199,0.995,0,0,kci,3761696853,train_ts20_s21.npz,synthetic_cpdag_discovered_original_ts20_s21.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,22,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s22.npz,synthetic_cpdag_discovered_original_ts20_s22.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,23,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s23.npz,synthetic_cpdag_discovered_original_ts20_s23.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,24,197,0.9949494949494948,200,198,198,0.99,0,0,kci,3761696853,train_ts20_s24.npz,synthetic_cpdag_discovered_original_ts20_s24.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,25,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s25.npz,synthetic_cpdag_discovered_original_ts20_s25.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,26,198,0.9949748743718592,200,199,199,0.995,0,0,kci,3761696853,train_ts20_s26.npz,synthetic_cpdag_discovered_original_ts20_s26.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,27,199,1.0,200,199,199,0.995,0,0,kci,3761696853,train_ts20_s27.npz,synthetic_cpdag_discovered_original_ts20_s27.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,28,197,0.9949494949494948,200,198,198,0.99,0,0,kci,3761696853,train_ts20_s28.npz,synthetic_cpdag_discovered_original_ts20_s28.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,29,197,1.0,200,197,199,0.995,0,0,kci,3761696853,train_ts20_s29.npz,synthetic_cpdag_discovered_original_ts20_s29.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,30,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s30.npz,synthetic_cpdag_discovered_original_ts20_s30.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,31,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s31.npz,synthetic_cpdag_discovered_original_ts20_s31.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,33,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s33.npz,synthetic_cpdag_discovered_original_ts20_s33.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,34,198,1.0,200,198,200,1.0,0,0,kci,3761696853,train_ts20_s34.npz,synthetic_cpdag_discovered_original_ts20_s34.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,35,198,1.0,200,198,199,0.995,0,0,kci,3761696853,train_ts20_s35.npz,synthetic_cpdag_discovered_original_ts20_s35.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,36,198,1.0,200,198,198,0.99,0,0,kci,3761696853,train_ts20_s36.npz,synthetic_cpdag_discovered_original_ts20_s36.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,37,197,0.9949494949494948,200,198,199,0.995,0,0,kci,3761696853,train_ts20_s37.npz,synthetic_cpdag_discovered_original_ts20_s37.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,38,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s38.npz,synthetic_cpdag_discovered_original_ts20_s38.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,39,198,1.0,200,198,199,0.995,0,0,kci,3761696853,train_ts20_s39.npz,synthetic_cpdag_discovered_original_ts20_s39.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,40,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s40.npz,synthetic_cpdag_discovered_original_ts20_s40.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,41,198,0.9949748743718592,200,199,199,0.995,0,0,kci,3761696853,train_ts20_s41.npz,synthetic_cpdag_discovered_original_ts20_s41.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,42,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s42.npz,synthetic_cpdag_discovered_original_ts20_s42.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,44,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s44.npz,synthetic_cpdag_discovered_original_ts20_s44.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,45,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s45.npz,synthetic_cpdag_discovered_original_ts20_s45.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,46,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s46.npz,synthetic_cpdag_discovered_original_ts20_s46.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,47,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s47.npz,synthetic_cpdag_discovered_original_ts20_s47.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,48,198,1.0,200,198,200,1.0,0,0,kci,3761696853,train_ts20_s48.npz,synthetic_cpdag_discovered_original_ts20_s48.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,49,198,1.0,200,198,198,0.99,0,0,kci,3761696853,train_ts20_s49.npz,synthetic_cpdag_discovered_original_ts20_s49.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,50,198,1.0,200,198,200,1.0,0,0,kci,3761696853,train_ts20_s50.npz,synthetic_cpdag_discovered_original_ts20_s50.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,51,198,0.9949748743718592,200,199,199,0.995,0,0,kci,3761696853,train_ts20_s51.npz,synthetic_cpdag_discovered_original_ts20_s51.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,52,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s52.npz,synthetic_cpdag_discovered_original_ts20_s52.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,53,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s53.npz,synthetic_cpdag_discovered_original_ts20_s53.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,54,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s54.npz,synthetic_cpdag_discovered_original_ts20_s54.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,55,199,1.0,200,199,199,0.995,0,0,kci,3761696853,train_ts20_s55.npz,synthetic_cpdag_discovered_original_ts20_s55.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,56,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s56.npz,synthetic_cpdag_discovered_original_ts20_s56.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,57,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s57.npz,synthetic_cpdag_discovered_original_ts20_s57.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,58,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s58.npz,synthetic_cpdag_discovered_original_ts20_s58.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,59,198,1.0,200,198,199,0.995,0,0,kci,3761696853,train_ts20_s59.npz,synthetic_cpdag_discovered_original_ts20_s59.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,61,197,1.0,200,197,199,0.995,0,0,kci,3761696853,train_ts20_s61.npz,synthetic_cpdag_discovered_original_ts20_s61.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,62,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s62.npz,synthetic_cpdag_discovered_original_ts20_s62.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,63,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s63.npz,synthetic_cpdag_discovered_original_ts20_s63.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,64,197,0.9949494949494948,200,198,198,0.99,0,0,kci,3761696853,train_ts20_s64.npz,synthetic_cpdag_discovered_original_ts20_s64.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,65,198,1.0,200,198,200,1.0,0,0,kci,3761696853,train_ts20_s65.npz,synthetic_cpdag_discovered_original_ts20_s65.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,66,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s66.npz,synthetic_cpdag_discovered_original_ts20_s66.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,67,198,0.9949748743718592,200,199,199,0.995,0,0,kci,3761696853,train_ts20_s67.npz,synthetic_cpdag_discovered_original_ts20_s67.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,68,197,0.9949494949494948,200,198,198,0.99,0,0,kci,3761696853,train_ts20_s68.npz,synthetic_cpdag_discovered_original_ts20_s68.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,69,198,0.9949748743718592,200,199,199,0.995,0,0,kci,3761696853,train_ts20_s69.npz,synthetic_cpdag_discovered_original_ts20_s69.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,70,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s70.npz,synthetic_cpdag_discovered_original_ts20_s70.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,71,198,1.0,200,198,199,0.995,0,0,kci,3761696853,train_ts20_s71.npz,synthetic_cpdag_discovered_original_ts20_s71.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,72,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s72.npz,synthetic_cpdag_discovered_original_ts20_s72.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,73,198,0.9949748743718592,200,199,199,0.995,0,0,kci,3761696853,train_ts20_s73.npz,synthetic_cpdag_discovered_original_ts20_s73.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,74,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s74.npz,synthetic_cpdag_discovered_original_ts20_s74.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,75,199,1.0,200,199,199,0.995,0,0,kci,3761696853,train_ts20_s75.npz,synthetic_cpdag_discovered_original_ts20_s75.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,76,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s76.npz,synthetic_cpdag_discovered_original_ts20_s76.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,77,197,1.0,200,197,199,0.995,0,0,kci,3761696853,train_ts20_s77.npz,synthetic_cpdag_discovered_original_ts20_s77.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,78,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s78.npz,synthetic_cpdag_discovered_original_ts20_s78.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,79,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s79.npz,synthetic_cpdag_discovered_original_ts20_s79.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,80,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s80.npz,synthetic_cpdag_discovered_original_ts20_s80.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,81,198,1.0,200,198,199,0.995,0,0,kci,3761696853,train_ts20_s81.npz,synthetic_cpdag_discovered_original_ts20_s81.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,82,198,1.0,200,198,198,0.99,0,0,kci,3761696853,train_ts20_s82.npz,synthetic_cpdag_discovered_original_ts20_s82.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,84,198,1.0,200,198,199,0.995,0,0,kci,3761696853,train_ts20_s84.npz,synthetic_cpdag_discovered_original_ts20_s84.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,85,198,1.0,200,198,200,1.0,0,0,kci,3761696853,train_ts20_s85.npz,synthetic_cpdag_discovered_original_ts20_s85.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,86,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s86.npz,synthetic_cpdag_discovered_original_ts20_s86.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,87,197,1.0,200,197,197,0.985,0,0,kci,3761696853,train_ts20_s87.npz,synthetic_cpdag_discovered_original_ts20_s87.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,88,198,0.9949748743718592,200,199,199,0.995,0,0,kci,3761696853,train_ts20_s88.npz,synthetic_cpdag_discovered_original_ts20_s88.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,89,197,1.0,200,197,199,0.995,0,0,kci,3761696853,train_ts20_s89.npz,synthetic_cpdag_discovered_original_ts20_s89.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,90,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s90.npz,synthetic_cpdag_discovered_original_ts20_s90.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,91,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s91.npz,synthetic_cpdag_discovered_original_ts20_s91.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,92,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s92.npz,synthetic_cpdag_discovered_original_ts20_s92.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,93,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s93.npz,synthetic_cpdag_discovered_original_ts20_s93.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,94,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s94.npz,synthetic_cpdag_discovered_original_ts20_s94.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,95,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s95.npz,synthetic_cpdag_discovered_original_ts20_s95.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,96,198,1.0,200,198,200,1.0,0,0,kci,3761696853,train_ts20_s96.npz,synthetic_cpdag_discovered_original_ts20_s96.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,97,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s97.npz,synthetic_cpdag_discovered_original_ts20_s97.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,98,197,1.0,200,197,198,0.99,0,0,kci,3761696853,train_ts20_s98.npz,synthetic_cpdag_discovered_original_ts20_s98.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,99,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s99.npz,synthetic_cpdag_discovered_original_ts20_s99.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,100,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s100.npz,synthetic_cpdag_discovered_original_ts20_s100.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,101,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s101.npz,synthetic_cpdag_discovered_original_ts20_s101.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,102,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s102.npz,synthetic_cpdag_discovered_original_ts20_s102.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,103,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s103.npz,synthetic_cpdag_discovered_original_ts20_s103.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,50,145,178,0.978021978021978,200,182,184,0.92,0,0,kci,3761696853,train_ts50_s145.npz,synthetic_cpdag_discovered_original_ts50_s145.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,50,146,170,0.9659090909090908,200,176,181,0.905,0,0,kci,3761696853,train_ts50_s146.npz,synthetic_cpdag_discovered_original_ts50_s146.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,50,147,176,0.9411764705882352,200,187,180,0.9,0,0,kci,3761696853,train_ts50_s147.npz,synthetic_cpdag_discovered_original_ts50_s147.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,50,149,178,0.9518716577540108,200,187,190,0.95,0,0,kci,3761696853,train_ts50_s149.npz,synthetic_cpdag_discovered_original_ts50_s149.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,50,150,179,0.9623655913978496,200,186,190,0.95,0,0,kci,3761696853,train_ts50_s150.npz,synthetic_cpdag_discovered_original_ts50_s150.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,50,151,182,0.9837837837837838,200,185,191,0.955,0,0,kci,3761696853,train_ts50_s151.npz,synthetic_cpdag_discovered_original_ts50_s151.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,50,152,179,0.9421052631578948,200,190,186,0.93,0,0,kci,3761696853,train_ts50_s152.npz,synthetic_cpdag_discovered_original_ts50_s152.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,50,155,177,0.9516129032258064,200,186,184,0.92,0,0,kci,3761696853,train_ts50_s155.npz,synthetic_cpdag_discovered_original_ts50_s155.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,50,156,176,0.9832402234636872,200,179,185,0.925,0,0,kci,3761696853,train_ts50_s156.npz,synthetic_cpdag_discovered_original_ts50_s156.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,50,158,174,0.9405405405405406,200,185,187,0.935,0,0,kci,3761696853,train_ts50_s158.npz,synthetic_cpdag_discovered_original_ts50_s158.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,50,159,180,0.9574468085106383,200,188,188,0.94,0,0,kci,3761696853,train_ts50_s159.npz,synthetic_cpdag_discovered_original_ts50_s159.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,50,160,184,0.9735449735449736,200,189,192,0.96,0,0,kci,3761696853,train_ts50_s160.npz,synthetic_cpdag_discovered_original_ts50_s160.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,50,161,176,0.9723756906077348,200,181,186,0.93,0,0,kci,3761696853,train_ts50_s161.npz,synthetic_cpdag_discovered_original_ts50_s161.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,50,162,171,0.9715909090909092,200,176,191,0.955,0,0,kci,3761696853,train_ts50_s162.npz,synthetic_cpdag_discovered_original_ts50_s162.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,50,164,169,0.9548022598870056,200,177,179,0.895,0,0,kci,3761696853,train_ts50_s164.npz,synthetic_cpdag_discovered_original_ts50_s164.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,50,165,185,0.9685863874345548,200,191,188,0.94,0,0,kci,3761696853,train_ts50_s165.npz,synthetic_cpdag_discovered_original_ts50_s165.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,50,166,180,0.9836065573770492,200,183,193,0.965,0,0,kci,3761696853,train_ts50_s166.npz,synthetic_cpdag_discovered_original_ts50_s166.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,50,167,177,0.9725274725274724,200,182,184,0.92,0,0,kci,3761696853,train_ts50_s167.npz,synthetic_cpdag_discovered_original_ts50_s167.npz,ok,
