dataset,sample_size,source_root
simglucose,20,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
simglucose,200,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
simglucose,50,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
simglucose,500,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
csuite_large_backdoor,1000,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_completion_n1000_chunked_20260611
csuite_weak_arrows,1000,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_completion_n1000_chunked_20260611
simglucose,100,causal_experiments/results/ci_preservation/interventional/runs/simglucose_exclude_cr_cf_interventional_20260429
simglucose,1000,causal_experiments/results/ci_preservation/interventional/runs/simglucose_exclude_cr_cf_interventional_20260429
simglucose,20,causal_experiments/results/ci_preservation/interventional/runs/simglucose_exclude_cr_cf_interventional_20260429
simglucose,200,causal_experiments/results/ci_preservation/interventional/runs/simglucose_exclude_cr_cf_interventional_20260429
simglucose,50,causal_experiments/results/ci_preservation/interventional/runs/simglucose_exclude_cr_cf_interventional_20260429
simglucose,500,causal_experiments/results/ci_preservation/interventional/runs/simglucose_exclude_cr_cf_interventional_20260429
csuite_large_backdoor,500,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_completion_20260511
csuite_large_backdoor,100,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_large_backdoor,20,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_large_backdoor,200,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_large_backdoor,50,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_mixed_confounding,100,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_mixed_confounding,1000,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_mixed_confounding,20,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_mixed_confounding,200,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_mixed_confounding,50,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_mixed_confounding,500,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_mixed_simpson,100,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_mixed_simpson,1000,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_mixed_simpson,20,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_mixed_simpson,200,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_mixed_simpson,50,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_mixed_simpson,500,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_nonlin_simpson,100,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_nonlin_simpson,1000,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_nonlin_simpson,20,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_nonlin_simpson,200,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_nonlin_simpson,50,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_nonlin_simpson,500,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_symprod_simpson,100,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_symprod_simpson,1000,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_symprod_simpson,20,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_symprod_simpson,200,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_symprod_simpson,50,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_symprod_simpson,500,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_weak_arrows,100,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_weak_arrows,20,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_weak_arrows,200,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_weak_arrows,50,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
csuite_weak_arrows,500,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
custom_scm,100,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
custom_scm,1000,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
custom_scm,20,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
custom_scm,200,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
custom_scm,50,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
custom_scm,500,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
custom_scm_noise1e-2,100,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
custom_scm_noise1e-2,1000,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
custom_scm_noise1e-2,20,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
custom_scm_noise1e-2,200,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
custom_scm_noise1e-2,50,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
custom_scm_noise1e-2,500,causal_experiments/results/ci_preservation/interventional/runs/interventional_archive_empirical_20260429
